Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,popularity,is_hit
36220,0.562,0.529,2,-10.031,0,0.126,0.67,0.929,0.107,0.371,115.992,4,2.52625,60,0
82181,0.4,0.988,7,-4.078,1,0.114,0.0385,0.0,0.781,0.653,151.936,4,2.4137,28,0
75617,0.453,0.106,5,-20.812,0,0.0484,0.992,0.939,0.111,0.127,119.065,4,3.0751833333333334,21,0
33456,0.85,0.556,6,-7.284,0,0.0385,0.159,2.64e-06,0.0536,0.202,114.998,4,2.6654666666666667,51,0
113943,0.176,0.222,5,-18.027,0,0.0391,0.965,0.737,0.126,0.0626,79.519,3,4.26665,21,0
101388,0.276,0.0151,9,-29.834,0,0.0611,0.973,0.867,0.0783,0.12,102.437,4,3.871783333333333,39,0
73108,0.693,0.392,2,-17.882,1,0.0467,0.594,0.749,0.111,0.0531,100.02,4,2.9286666666666665,55,0
12402,0.521,0.917,1,-4.363,1,0.0388,0.00423,0.0,0.136,0.555,98.037,4,4.433333333333334,49,0
95662,0.662,0.921,0,-4.078,0,0.0508,0.721,2.66e-05,0.0613,0.937,192.203,4,5.258216666666667,29,0
71591,0.567,0.946,2,-3.973,0,0.0935,0.00267,0.0,0.0567,0.699,94.985,4,4.092883333333333,67,0
594,0.668,0.304,9,-9.415,1,0.0354,0.811,0.0,0.0826,0.567,112.338,4,3.6149,30,0
90844,0.275,0.825,10,-3.869,1,0.0663,0.777,0.000241,0.737,0.935,198.905,4,2.204,28,0
54205,0.495,0.106,6,-22.747,0,0.0674,0.995,0.948,0.0959,0.612,128.365,3,4.8868833333333335,14,0
17225,0.68,0.833,1,-3.272,1,0.0283,0.00195,0.106,0.113,0.0541,117.979,4,3.1525333333333334,43,0
14691,0.622,0.917,7,-3.493,1,0.0414,0.00777,0.0,0.367,0.345,105.022,4,3.7351,32,0
78580,0.741,0.873,10,-5.578,1,0.0564,0.0159,0.0,0.405,0.958,142.006,4,2.22535,27,0
5666,0.543,0.632,11,-5.515,1,0.0304,0.383,0.0,0.093,0.384,79.004,4,4.576,43,0
