y_true,y_pred
35,53.51230339134659
23,33.227156005365806
44,35.21536884028287
35,43.17320770214006
57,53.60128999200495
23,41.47098089491326
31,42.869961816592586
18,34.43505302030102
39,39.565138974623885
57,45.039418026255944
23,26.410266965895495
13,15.508280312562581
59,52.39988028103262
48,42.980748813941375
24,24.817429533290625
47,42.589807189563956
16,20.570704940341276
16,31.999393373693255
23,42.379184174345134
65,50.32677729591669
54,32.521130739479815
48,52.50965835832771
20,31.473645916180573
75,44.73497378042134
25,33.49914769211259
23,31.011392174722133
44,47.259897748654446
46,44.757202095663516
58,41.23449145015791
82,45.35126834305779
47,50.13670338874311
10,34.11849585177847
56,35.52264817505786
49,43.68036793262205
18,23.0941659484087
63,42.013480713568505
23,28.432582727742705
44,41.79082450360157
54,48.373854510902746
18,32.82490544031136
43,45.076776125962326
38,41.18242546683803
50,45.23729914078126
22,34.431442884191966
60,43.12768510642627
14,21.58919867985483
41,43.15613440207219
64,34.88793839230144
21,32.102510541705506
22,46.49327938591339
52,43.89212940479316
60,38.23685028171692
54,46.01081559240063
47,51.19581085944011
25,33.61711940469071
60,46.666854496157086
41,38.888841516527414
35,47.78540161666743
24,35.52576379653077
44,37.33075546060579
54,39.58578823926
71,46.23905140128991
63,41.69618044682592
49,42.26031395136189
27,42.23353775774729
24,47.951386843171214
38,37.29713040478387
24,17.479650067861066
30,37.32556647821511
29,46.682366453255
31,36.862362518604144
38,36.7010608976443
47,39.88817937821398
58,45.51675410007581
24,37.104121397240625
74,59.235986518261555
10,29.341542234295016
60,60.64589896799557
18,33.495376921588395
12,33.78183014297228
55,41.684432647319
64,26.583066084169715
17,18.32758217797074
43,46.38088489321547
50,36.83153349142427
56,44.49037060674135
27,41.38401283832488
12,30.134669578496933
42,35.878027157689424
53,49.00879117291616
18,24.70565850199192
30,35.20133530360499
16,35.93838769851166
40,45.31710697928792
78,49.399718762434425
20,42.266006113649425
34,30.38823297670979
37,41.2292943817219
49,52.61588574148511
64,51.520026816622334
49,38.75667814251635
59,49.208563549796274
41,40.478163095938186
43,48.146058472742695
43,42.39667481208058
58,38.352958248481606
53,45.14902488905331
19,29.061896956625898
21,36.04197466794571
50,40.41389229857071
24,42.27581088324126
58,46.45639339177062
68,49.61049422204668
24,42.447439835445365
43,50.13939944601715
26,36.234151137241085
