y_true,y_pred
35,56.99391109018291
23,31.822875970906775
44,34.268658882082526
35,41.95952483354666
57,50.886202273644834
23,41.54876414693304
31,42.35937699918102
18,35.21663730370779
39,39.12668034447527
57,44.511582492504466
23,27.343304242901535
13,14.606923371563642
59,51.867131259262216
48,44.96892740380112
24,23.484594279844195
47,42.375086178258954
16,21.027501649602485
16,30.91393649748452
23,41.51591201529533
65,54.971033031593734
54,31.202759395463648
48,53.21046226745008
20,27.571671495602967
75,45.24344087685471
25,33.140493240454056
23,34.67530679894203
44,46.58588917750674
46,44.6576605165281
58,40.238372585930655
82,46.725797198694174
47,51.66910059002849
10,30.509225710855095
56,34.18251349187187
49,43.81712587241399
18,20.190814799550047
63,41.1460633392601
23,28.156806882273546
44,42.21116424721719
54,48.97224388751738
18,32.819203141579344
43,44.856161858728235
38,41.74270975554445
50,43.42935761096238
22,35.075291145998555
60,42.67682107846078
14,22.88094115514156
41,42.19316670488033
64,34.44881339080267
21,33.67447688349867
22,45.02905315646089
52,43.98410687432534
60,43.46093723259414
54,46.68866644725176
47,49.719433055652196
25,29.481548014364467
60,47.32494180690248
41,40.11684884897993
35,48.07975149370256
24,35.323325851151786
44,37.45284974293526
54,40.17059028948325
71,43.54930117080654
63,41.47010781823074
49,41.26147141819929
27,41.13948832593782
24,50.13332749924032
38,37.50093365772784
24,16.57825060065376
30,35.90784314468185
29,45.690205227824066
31,37.85523081022526
38,35.43859274641125
47,38.489969017735106
58,46.1946218354744
24,35.17090345164525
74,68.0444791506893
10,27.491286996220648
60,59.48444924781786
18,32.434572163804845
12,32.75498472123788
55,41.252920382005065
64,28.84155760100184
17,17.45923320122999
43,45.7145295268982
50,34.01619793599891
56,41.95263006670013
27,41.495831204470726
12,27.66572616045561
42,34.493185958525885
53,52.819025585597316
18,22.633191363887768
30,34.32371741833262
16,39.85616656930099
40,45.43676932794574
78,48.47213875341121
20,41.00666129463271
34,28.717851160804035
37,40.59338611858604
49,53.351734016266036
64,51.75297814628765
49,40.959327440350755
59,47.54529955043037
41,39.324351637090416
43,48.38513605005323
43,42.358402299395586
58,40.88064075956804
53,45.172551456628206
19,26.36229085022192
21,28.512721858190538
50,38.338896602915334
24,43.83619196329447
58,48.04779353943136
68,48.8368572767777
24,39.64928774078209
43,50.70833078532589
26,41.64846373822256
54,48.890191983451686
25,35.4918833142261
35,40.43126693495764
44,40.47650571108398
25,35.14257013656344
29,33.650162931333895
41,38.83230800377401
35,46.91272644993653
47,49.43100935943393
34,48.217414286644036
18,38.899742775565045
31,40.93773743896636
27,39.73309909071855
35,46.09450370943646
22,24.79128472215658
21,31.607257692412063
48,36.93572443392383
24,24.16745190533017
45,49.174757562597925
10,38.56930900364755
76,48.9448305757073
22,28.252431942970794
76,42.50319680407135
49,45.67371870105129
36,45.367332867743265
29,47.173814586073775
15,37.551312559028
37,42.85610556184166
14,33.05919930659662
42,36.362973391050275
36,39.6625389704756
35,40.512259694133405
22,38.19846804420587
65,41.546819020874636
38,43.43750922594943
43,31.659994067777358
60,39.41151386475785
36,27.973993187267432
72,43.625539266463996
50,27.984328132109223
48,39.67845869526228
65,49.68216562726522
54,35.75148350529546
22,32.37649644332484
42,41.72315293292147
23,42.691708878231005
58,52.88082140982448
26,46.89366667057886
17,35.46228407614406
79,53.283816592882324
40,43.52613323895464
14,36.16750664649217
72,42.37384273373176
52,39.386466558142246
27,41.02614680135992
33,39.87933640638308
13,14.610162785538227
31,36.70219787154726
37,48.25390261571608
49,35.78764419679278
23,50.79250031264558
43,39.6028659480615
51,40.75320194588775
24,31.913216941113063
47,45.735702017000655
32,46.81710689400035
14,21.596603764623914
32,35.393432042230344
11,33.00592077690103
17,16.74196916308439
29,33.68565615882753
74,56.85866718805394
19,49.932285095801134
65,46.58660368139237
10,18.910913053143723
61,43.89061270305373
20,42.713204719363546
32,26.274085338750577
22,30.880163329302885
25,48.146258546190246
67,50.399420745231424
20,34.34633922659179
71,42.42994204329036
20,30.180208432730275
12,37.46999658858053
73,27.99442992085868
55,51.36028603760487
13,30.57866467317105
67,44.09072130227524
42,47.92906522531084
63,38.87971692482687
40,37.78572408108374
32,41.57081176826494
40,37.22275941150457
17,24.937710545191322
72,43.97310446794436
59,44.03234980578513
21,33.884310786559155
66,48.225123148531935
66,46.0289658961867
21,40.10374821143102
13,38.251813530691464
45,46.381098090356765
70,35.02069584586175
74,39.4420766216989
46,42.71025786237488
72,47.21814733082559
29,34.22332686937199
73,45.13909175099992
47,43.70387063249911
47,46.38656178937552
53,37.96760676914821
60,56.8500853902854
27,41.490150768554116
29,31.38445133768353
40,45.02468082563012
42,32.602801318301765
50,42.60318804529343
44,47.956979641259004
24,39.38102361480673
58,52.935012725343924
14,32.036845910684285
52,54.99799115010985
29,47.05192597760331
40,35.38547054480075
22,23.81064618606204
44,42.212915261785184
17,40.797749786892034
57,42.1903683655075
23,24.749950866071426
50,38.899505641109265
57,41.897189470882786
79,54.14304310279997
10,21.021864216033414
10,27.9108860267601
16,26.3514360375686
53,44.336312326153774
12,14.272454900428034
50,40.55759430065284
51,38.62657571645357
48,39.84261274270815
34,37.258202905502976
20,43.67565065432423
47,47.39726857047146
77,53.98922719495615
24,36.014227882950934
32,33.92503511621793
41,42.31146129929795
62,52.5012892910021
39,49.5821189653586
43,35.036205593166045
46,42.88575659693597
55,49.3972960490434
50,38.61692686227412
21,43.957519940700905
19,46.91104918826626
38,45.969161085536214
69,42.88323825379644
19,23.83200704079259
75,54.12357460413402
21,32.940989601164894
73,38.87031849174607
54,44.47536256558946
43,37.11465495526988
22,18.294967888745678
38,38.765080404226055
30,43.24489321230425
12,34.27643293307906
29,31.398635692529957
27,39.17153932727004
45,41.16987228036342
26,32.73236043467896
31,35.6964620021292
53,44.33775651310596
49,45.67030043589834
80,44.42251426807524
71,30.988359927533775
30,33.74454162384127
36,45.290460065262984
38,35.7680740732894
50,44.2915727913972
45,40.94860958011551
57,34.002943749155115
46,45.92616080383582
15,52.12162292436126
17,22.74812658458117
77,44.666392603597735
50,42.74314983330569
59,49.34276994381602
23,25.998767845158312
12,18.539767940102738
56,42.761610260019445
13,39.43405852434448
27,45.18961085475107
58,35.04041047937783
36,41.849720370455685
25,27.02883166764726
44,46.62047209684157
43,40.0729354034559
45,27.90644291814023
45,44.124496384907964
64,38.209098488952264
22,36.51955954083096
67,47.75012907334946
18,29.422807148122384
59,43.54577728025837
16,20.39919753175268
24,35.856046362625364
70,37.86783842556186
12,31.70270867715953
21,26.070297319456504
26,50.154179108505566
47,41.76642842646282
33,50.714692312316565
75,46.14049765626857
65,48.53974122205815
24,35.76293960538167
42,51.383563523052274
67,47.06215083596424
52,36.667622358750094
51,40.5627785169113
42,37.27750110732748
34,40.76721382380113
16,23.807726537498926
53,39.142165829138726
63,38.151165171662
39,41.9482724346733
20,39.45589723119267
53,38.252732427778604
42,34.96175084573937
10,29.158869284116022
54,48.339127490138544
56,53.571435390927206
11,26.754562926715185
20,37.97726307101031
41,44.5778476846767
48,36.74105591109919
42,49.92066448155079
29,32.70048951718799
73,42.088411608470714
32,42.91471958881457
50,50.40573280279072
36,42.176908759599016
68,39.08255162154809
51,40.92952387435968
38,40.99212693567152
65,44.45798044139997
34,43.4627949548386
40,34.6182636615703
46,43.715252908981505
52,44.9013054981226
21,27.254037393114935
20,38.21525002119629
16,37.81178031990078
13,23.93282182869717
37,36.05067052906284
51,49.76451416248203
12,21.575563936948946
10,35.832895618851786
52,19.807462215586312
47,45.028674465685725
20,37.944722621856585
35,40.7778073569383
18,41.43720278687084
57,46.06875107051344
45,45.29897048160896
58,43.99609917326501
18,40.84806179768809
27,27.581397332531477
19,36.87016296649751
59,47.846662259696494
66,34.487202959436935
33,41.41274155043486
23,37.56754504316019
41,37.594331255732925
63,46.32690980651472
100,50.284821218385986
42,42.27045502029286
52,47.37690132637617
42,43.99709541270073
79,46.95964853966276
48,50.71962364634302
53,47.354737380309025
14,25.957667338415764
45,39.95954606258864
29,42.65510417116786
48,38.37637921116059
41,44.63500165676509
46,40.98261471422406
27,41.97541922872628
33,32.92797178762312
41,45.62714609835125
55,45.542513468427885
49,40.028575549089325
64,46.798642687602744
27,42.889008728364324
16,24.160561097014124
37,32.63422225951811
32,44.8241099754799
33,46.78300089906951
18,17.19194446683917
