modelo,MAE,RMSE,R2,tiempo_s
DecisionTreeRegressor,12.535770505828872,15.421017358900041,0.15187867142208344,0.42274904251098633
Ridge,12.8762544069536,15.501371354743318,0.14301706522584123,0.015360832214355469
LinearRegression,12.877895678708889,15.502821115336008,0.14285675964287403,0.06504702568054199
Lasso,12.919292601513083,15.529655921141856,0.13988682540905617,0.11270904541015625
