modelo,Accuracy,F1,Precision,Recall,AUC,tiempo_s
LogReg (balanced),0.6593559501722767,0.1601045580787453,0.08915574963609899,0.784,0.7809908896108384,0.0777902603149414
DecisionTree (balanced),0.6170818976941426,0.14245437008458228,0.07850834151128558,0.768,0.735001036842469,0.431060791015625
KNN (k=5),0.9548104956268222,0.03672316384180791,0.1566265060240964,0.0208,0.6421339600470034,1.681333065032959
DecisionTree (depth=8),0.9575934269811821,0.03323262839879154,0.2972972972972973,0.0176,0.7401458215248496,0.39150094985961914
LogisticRegression,0.9585873310363107,0.0,0.0,0.0,0.783298375613465,0.1066889762878418
